0,1,2,3,4,5,6,7,8,9,10,11,12
0.22,0.95,0.18,54,255,89,43,59,844,0,1,1,1
0.22,0.93,0.15,52,255,93,46,67,845,0,1,1,1
0.23,0.95,0.14,54,255,89,43,61,844,0,1,1,1
0.23,0.94,0.13,54,255,88,45,66,844,0,1,1,1
0.22,0.95,0.15,54,255,91,43,64,844,0,1,1,1
0.21,0.97,0.16,54,255,93,45,67,844,0,1,1,1
0.21,0.94,0.18,59,255,91,39,66,843,0,1,1,1
0.22,0.95,0.16,59,255,94,45,67,844,0,1,1,1
0.22,0.95,0.16,54,255,91,39,66,842,0,1,1,1
0.21,0.95,0.19,59,255,93,45,67,842,0,1,1,1
0.22,0.95,0.17,54,255,89,43,66,842,0,1,1,1
0.22,0.95,0.18,61,255,91,45,67,842,0,1,1,1
0.23,0.95,0.18,54,255,86,43,67,844,0,1,1,1
0.27,0.92,0.26,42,81,70,26,71,1023,0,1,1,1
0.3,0.91,0.27,49,82,67,24,69,1023,0,1,1,1
0.25,0.91,0.29,47,81,67,26,72,1023,0,1,1,1
0.27,0.92,0.28,47,82,66,26,74,1022,0,1,1,1
0.25,0.91,0.27,47,82,67,26,74,1023,0,1,1,1
0.26,0.92,0.27,42,82,69,24,77,1023,0,1,1,1
0.26,0.92,0.28,47,84,67,27,66,1023,0,1,1,1
0.25,0.91,0.28,49,81,70,27,74,1023,0,1,1,1
0.27,0.91,0.3,47,82,61,26,74,1021,0,1,1,1
0.26,0.92,0.3,52,82,67,27,75,1023,0,1,1,1
0.28,0.9,0.3,38,81,67,30,71,1023,0,1,1,1
0.42,0.88,0.13,45,84,69,27,74,1023,0,1,1,1
0.43,0.89,0.19,47,86,64,29,75,1023,0,1,1,1
0.44,0.9,0.17,52,82,67,24,75,1023,0,1,1,1
0.42,0.89,0.18,42,86,69,27,77,1021,0,1,1,1
0.42,0.88,0.18,47,81,67,27,74,1023,0,1,1,1
0.43,0.89,0.19,47,84,72,27,77,1023,0,1,1,1
0.43,0.88,0.19,47,82,72,24,77,1023,0,1,1,1
0.42,0.88,0.19,49,84,69,27,74,1023,0,1,1,1
0.41,0.88,0.2,47,82,69,30,74,1023,0,1,1,1
0.41,0.86,0.2,49,84,64,27,75,1021,0,1,1,1
0.41,0.85,0.21,54,71,64,26,77,1023,0,1,1,1
0.46,0.91,0.12,28,71,59,30,74,1023,0,0,1,1
