0,1,2,3,4,5,6,7,8,9,10,11,12
-0.96,0.07,0.01,76,255,255,95,113,1016,0,0,0,1
-0.96,0.06,0.02,71,255,255,98,110,1017,0,0,0,1
-0.96,0.06,0.02,78,255,255,95,107,1018,0,0,0,1
-0.96,0.06,0.01,81,255,255,95,112,1017,0,0,0,1
-0.97,0.07,0.02,78,255,255,95,113,1018,0,0,0,1
-0.95,0.07,0.02,81,255,255,95,110,1016,0,0,0,1
-0.96,0.04,0.02,83,255,255,94,102,1017,0,0,0,1
-0.96,0.07,0.02,78,255,255,94,107,1016,0,0,0,1
-0.96,0.06,0.02,78,255,255,95,105,1015,0,0,0,1
-0.95,0.06,0.02,78,255,255,97,105,1021,0,0,0,1
-0.96,0.06,0.01,78,255,255,92,105,1017,0,0,0,1
-0.96,0.07,0.02,78,255,255,97,107,1018,0,0,0,1
-0.97,0.07,0.01,78,255,255,91,108,1018,0,0,0,1
-0.96,0.07,0.01,85,255,255,91,107,1017,0,0,0,1
-0.96,0.06,0.01,78,255,255,94,112,1017,0,0,0,1
-0.96,0.06,0.02,71,255,255,94,105,1018,0,0,0,1
-0.96,0.07,0.02,81,255,255,94,102,1018,0,0,0,1
-0.96,0.07,0.02,81,255,255,94,107,1018,0,0,0,1
-0.96,0.07,0.03,81,255,255,95,105,1018,0,0,0,1
-0.96,0.06,0.03,78,255,255,94,105,1013,0,0,0,1
-0.96,0.06,0.02,85,255,255,92,108,1018,0,0,0,1
-0.97,0.06,0.03,83,255,255,92,110,1018,0,0,0,1
-0.96,0.06,0.03,81,255,255,92,108,1018,0,0,0,1
-0.95,0.06,0.04,83,255,255,94,108,1017,0,0,0,1
-0.97,0.06,0.02,83,255,255,92,112,1015,0,0,0,1
-0.95,0.07,0.02,81,255,255,95,108,1016,0,0,0,1
-0.95,0.07,0.03,81,255,255,92,113,1018,0,0,0,1
-0.96,0.06,0.03,81,255,255,91,108,1018,0,0,0,1
-0.96,0.07,0.02,81,255,255,95,108,1020,0,0,0,1
-0.97,0.06,0.02,81,255,255,91,108,1020,0,0,0,1
-0.96,0.07,0.03,85,255,255,88,108,1017,0,0,0,1
-0.95,0.07,0.04,83,255,255,92,110,1017,0,0,0,1
-0.96,0.07,0.05,76,255,255,92,112,1018,0,0,0,1
-0.96,0.06,0.04,81,255,255,92,107,1018,0,0,0,1
-0.97,0.06,0.03,78,255,255,92,113,1016,0,0,0,1
-0.96,0.06,0.03,74,255,255,95,108,1018,0,0,0,1
-0.97,0.07,0.04,83,255,255,92,105,1018,0,0,0,1
-0.96,0.07,0.03,83,255,255,92,112,1017,0,0,0,1
-0.96,0.07,0.03,83,255,255,95,113,1018,0,0,0,1
-0.96,0.06,0.04,83,255,255,92,113,1018,0,0,0,1
-0.96,0.07,0.04,85,255,255,92,113,1017,0,0,0,1
-0.95,0.07,0.04,81,255,255,92,116,1018,0,0,0,1
-0.95,0.07,0.03,81,255,255,92,113,1018,0,0,0,1
-0.96,0.08,0.03,83,255,255,92,113,1017,0,0,0,1
-0.96,0.07,0.03,83,255,255,92,113,1016,0,0,0,1
-0.96,0.08,0.04,83,255,255,92,113,1016,0,0,0,1
-0.96,0.07,0.04,81,255,255,94,112,1018,0,0,0,1
-0.96,0.07,0.03,83,255,255,91,112,1018,0,0,0,1
-0.96,0.06,0.04,83,255,255,95,112,1020,0,0,0,1
-0.96,0.06,0.05,83,255,255,91,112,1021,0,0,0,1
-0.96,0.07,0.04,87,255,255,86,112,1018,0,0,0,1
-0.96,0.07,0.03,83,255,255,92,115,1018,0,0,0,1
0.06,0.4,-0.95,43,38,36,26,28,1023,0,0,0,0
0.02,0.35,-0.92,69,50,46,30,34,1023,0,0,0,0
0.07,0.42,-0.89,72,48,49,35,34,1023,0,0,0,0
0.02,0.38,-0.97,82,53,52,37,40,1023,0,0,0,0
